feature,gain
in_txn_sum_30d_to_90d,164.90108799934387
in_txn_sum_21d,157.60432291030884
in_activity_frequency_score,152.8780689239502
out_merchant_count_30d,149.6005744934082
out_cashout_ratio,148.07989883422852
in_txn_count_61_90d,140.43570137023926
in_avg_txn_gap_days,134.61504793167114
in_txn_sum_14d,132.34031867980957
in_max_txn_gap_days,131.4217128753662
in_txn_sum_90d,125.64370059967041
in_cashout_ratio,125.06470108032227
zero_balance_ratio,121.87660026550293
in_txn_sum_7d,116.0474624633789
in_days_since_last_transaction,114.49220085144043
in_txn_count_31_60d,112.80970001220703
out_p2p_count_30d,112.24958181381226
in_cashout_count_30d,106.80920028686523
balance_min_7d,102.49533116817474
in_txn_count_3d_to_14d,89.6885986328125
in_txn_count_60d,86.56077194213867
in_txn_sum_30d,80.06049919128418
in_unique_dst_accounts_7d,75.68302154541016
in_txn_sum_3d,71.52323055267334
out_txn_count_1d,68.02149963378906
in_txn_sum_5d,65.36848974227905
out_cashout_count_90d,62.079498291015625
balance_min_30d,60.24236989021301
in_txn_count_45d,58.180148124694824
in_txn_sum_60d,57.90369987487793
in_txn_count_3d,53.76135015487671
out_cashout_count_30d,53.347999572753906
in_txn_count_7d_to_14d,53.129098892211914
in_txn_per_active_day_30d,36.96749019622803
in_p2p_ratio_30d,31.945420265197754
in_active_day_ratio_7d,29.446500778198242
in_unique_dst_accounts_30d,29.15632915496826
in_active_days_30d,25.670900344848633
in_txn_per_active_day_90d,23.44379997253418
in_active_days_14d,20.9330997467041
in_cashout_count_90d,18.93829917907715
in_txn_count_21d,14.196800231933594
in_txn_count_2d,12.75790023803711
last_balance,10.341300010681152
in_active_day_ratio_90d,8.801309585571289
in_p2p_count_30d,6.907780170440674
in_unique_dst_accounts,0.0
in_active_days_7d,0.0
gender_idx,0.0
account_type_idx,0.0
in_txn_count_1d,0.0
in_active_days_21d,0.0
in_p2p_count_90d,0.0
balance_obs_7d,0.0
in_bill_count_90d,0.0
in_merchant_count_90d,0.0
in_merchant_ratio_30d,0.0
in_bill_ratio_30d,0.0
in_merchant_ratio,0.0
in_bill_ratio,0.0
in_days_since_last_merchant,0.0
in_txn_count_7d,0.0
in_txn_sum_45d,0.0
in_active_day_ratio_14d,0.0
in_active_day_ratio_21d,0.0
in_active_day_ratio_30d,0.0
in_days_since_last_bill,0.0
in_days_since_last_p2p,0.0
in_dst_diversity_7d_to_30d,0.0
in_txn_sum_2d,0.0
in_txn_count_14d,0.0
in_txn_count_5d,0.0
in_merchant_count_30d,0.0
in_bill_count_30d,0.0
balance_obs_30d,0.0
in_txn_count_30d,0.0
